trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
131,83,90,189286,378.6321,415.5549927,139.9528563,190248,423.3749,396.5706177,-173.7667195
132,180,90,190873,423.61264,396.6668701,-173.7635037,191837,377.73584,415.095459,140.5056252
133,90,101,192461,378.08334,415.6112061,140.4513833,193410,396.6062,389.2696533,107.2142517
134,90,85,194002,396.67203,388.9129028,108.0343625,194934,377.46945,417.43927,144.6438333
135,90,90,195521,377.79752,415.510437,143.9814061,196489,376.5733,416.9789429,142.5507203
136,160,15,197076,377.95636,417.0931396,142.0550295,198097,289.8679,494.2106323,136.286686
137,0,180,198688,289.35168,494.5823364,136.2847582,199719,380.92633,416.8746338,141.4904759
138,83,85,200307,379.57397,416.8272705,141.564037,201372,393.96893,416.7398071,-118.6054363
139,180,101,201998,394.64343,416.1853027,-118.6879593,203021,373.21265,416.9390259,145.8103965
140,83,90,203614,372.65045,416.2507935,145.6641716,204633,373.21265,416.9390259,145.8103965
141,180,90,205203,432.97324,402.1080933,-158.5137838,206223,372.2704,415.6726074,144.6225242
142,90,101,206811,371.2307,416.7230225,144.6085955,207807,394.3874,382.4404907,100.4343898
143,90,85,208396,371.2307,416.7230225,144.6085955,209355,370.44226,416.7088623,146.2728912
144,90,90,209948,369.05682,416.59375,145.8355982,210970,370.44226,416.7088623,146.2728912
145,160,15,211503,369.17084,417.3737183,145.775211,212552,281.34006,493.5425415,139.5629686
146,0,180,213143,279.14664,493.3165894,138.5555027,214212,366.0649,416.7567139,141.6530801
147,83,85,214835,279.14664,493.3165894,138.5555027,215788,383.62332,413.8234253,-120.6423172
148,180,101,216377,279.14664,493.3165894,138.5555027,217375,361.31488,413.277771,143.7823224
149,83,90,217964,361.17093,413.9042358,143.7488214,219025,422.09695,400.7405396,-159.5973698
150,180,90,219611,361.17093,413.9042358,143.7488214,220605,361.3394,413.4066162,141.116806
151,90,101,221199,361.48578,413.5600586,141.1643551,222196,383.3988,379.3417969,100.5521615
152,90,85,222782,381.64404,378.0931396,99.07348243,223810,358.32764,416.1898804,145.9998873
153,90,90,224402,359.35373,415.7877197,145.8943617,225424,358.45987,414.708374,145.277
154,160,15,226014,357.62378,414.6625366,144.2201739,227072,268.75455,488.8436279,137.5716037
155,0,180,227702,357.62378,414.6625366,144.2201739,228691,360.07217,410.7713013,145.3647387
156,83,85,229284,360.3816,411.1051636,145.772391,230306,360.07217,410.7713013,145.3647387
157,180,101,230874,374.5472,410.4497681,-117.071025,231892,353.2776,408.7088013,147.6498231
158,83,90,232482,374.5472,410.4497681,-117.071025,233475,413.33337,399.9801025,-155.4078778
159,180,90,234073,374.5472,410.4497681,-117.071025,235064,353.13168,410.2514038,146.9500133
160,90,101,235652,353.09283,409.1525879,147.1889861,236683,378.43585,375.5018921,103.4485017
161,90,85,237271,378.29343,376.8789063,103.4876927,238336,351.79065,410.1997681,150.6966489
162,90,90,238959,378.29343,376.8789063,103.4876927,239912,351.79065,410.1997681,150.6966489
163,160,15,240472,352.4216,410.9251709,150.6761463,241493,351.79065,410.1997681,150.6966489
164,0,180,242064,256.17746,476.828125,141.4938452,243085,351.4878,407.3861084,148.6315987
165,83,85,243673,352.20126,408.0691528,148.6448483,244731,366.90466,409.5490723,-113.8731551
166,180,101,245325,352.20126,408.0691528,148.6448483,246316,366.90466,409.5490723,-113.8731551
167,83,90,246846,352.20126,408.0691528,148.6448483,247870,406.6385,401.9393311,-151.5201191
168,180,90,248494,406.75204,403.7758789,-150.4692523,249521,406.6385,401.9393311,-151.5201191
169,90,101,250081,345.321,408.520874,151.7911519,251097,406.6385,401.9393311,-151.5201191
170,90,85,251667,373.05606,378.3181152,109.246795,252682,345.16788,410.9381714,153.3710498
171,90,90,253278,344.60373,409.2487183,152.4465912,254306,345.321,408.520874,152.1759383
172,160,15,254895,345.00378,410.4447632,153.4262163,255959,248.37323,470.7114868,146.459213
173,0,180,256579,345.00378,410.4447632,153.4262163,257564,248.37323,470.7114868,146.459213
174,83,85,258093,345.00378,410.4447632,153.4262163,259053,248.37323,470.7114868,146.459213
175,180,101,259585,345.00378,410.4447632,153.4262163,260600,339.55692,407.7478027,154.4450608
176,83,90,261195,339.7742,408.0527954,154.4995895,262193,339.55692,407.7478027,154.4450608
177,180,90,262787,399.8773,403.1918945,-149.900867,263809,339.55692,407.7478027,154.4450608
178,90,101,264363,338.38705,407.93573,153.7699562,265392,339.55692,407.7478027,154.4450608
179,90,85,265956,338.38705,407.93573,153.7699562,266944,339.55692,407.7478027,154.4450608
180,90,90,267534,336.82452,408.2616577,154.4911727,268563,339.55692,407.7478027,154.4450608
181,160,15,269118,336.82452,408.2616577,154.4911727,270245,216.88075,483.1519165,147.6131119
182,0,180,270864,218.21014,482.3858032,147.5885674,272029,216.88075,483.1519165,147.6131119
183,83,85,272618,339.06775,408.8327026,154.8430269,273768,356.2728,410.93573,-87.4749232
184,180,101,274362,357.01767,413.5581055,-88.08318638,275519,356.2728,410.93573,-87.4749232
185,83,90,276051,357.01767,413.5581055,-88.08318638,277142,356.2728,410.93573,-87.4749232
186,180,90,277700,407.87225,409.3429565,-135.7031319,278853,335.81436,402.9622803,156.5022538
187,90,101,279445,407.87225,409.3429565,-135.7031319,280534,335.81436,402.9622803,156.5022538
188,90,85,281068,367.02594,364.3484497,101.5195141,282191,334.50443,404.6262207,157.8901026
189,90,90,282808,334.4725,403.5889893,156.5433437,283906,334.50443,404.6262207,157.8901026
190,160,15,284496,334.50443,404.6262207,157.8901026,285624,334.50443,404.6262207,157.8901026
191,0,180,286184,211.95184,475.4888916,148.7440542,287308,334.50443,404.6262207,157.8901026
192,83,85,287864,211.95184,475.4888916,148.7440542,288951,355.06628,406.0637817,-86.14071603
193,180,101,289583,355.28763,406.3828735,-86.13749183,290736,355.06628,406.0637817,-86.14071603
194,83,90,291330,333.678,398.6031494,158.9318855,292480,405.23563,407.6362305,-134.1882772
195,180,90,293072,333.678,398.6031494,158.9318855,294133,333.678,398.6031494,158.5701661
196,90,101,294728,333.678,398.6031494,158.9318855,295819,367.72925,360.2871704,104.2391132
197,90,85,296406,367.72925,360.2871704,104.2391132,297571,332.15213,399.9608154,159.9114136
198,90,90,298161,332.15213,399.9608154,161.1684334,299311,332.15213,399.9608154,161.5719878
199,160,15,299909,331.93692,399.659668,161.5159181,301069,204.81026,463.6078491,154.7979829
200,0,180,301653,331.93692,399.659668,161.5159181,302742,328.41852,395.1852417,157.9766041
201,83,85,303342,328.20438,394.8857422,157.9204512,304497,345.86646,402.6098633,-85.38289797
202,180,101,305124,345.64746,402.2976685,-84.73213836,306249,321.20264,397.5452271,159.6554267
203,83,90,306869,321.20264,397.5452271,159.2809811,308000,321.20264,397.5452271,159.6554267
204,180,90,308553,394.2155,406.7032471,-133.7065712,309675,319.81555,397.4275513,158.6645275
205,90,101,310271,394.2155,406.7032471,-133.7065712,311398,319.81555,397.4275513,158.6645275
206,90,85,311956,354.02826,359.0985107,103.8234076,313115,319.74838,395.6610107,157.9395659
207,90,90,313734,354.02826,359.0985107,103.8234076,314824,319.9599,395.9528198,157.9958877
208,160,15,315446,319.81555,397.4275513,158.9784963,316609,319.9599,395.9528198,157.9958877
209,0,180,317203,319.81555,397.4275513,158.9784963,318251,319.9599,395.9528198,157.9958877
210,83,85,318786,319.15128,389.9449463,158.7201731,319938,336.86523,394.4187012,-85.25168258
211,180,101,320531,336.5568,396.3273926,-83.31165544,321692,316.67096,386.7692261,158.7033183
212,83,90,322276,316.3535,387.4014893,159.0235747,323443,389.5577,395.9404907,-134.7088199
213,180,90,324027,389.43555,397.4085693,-133.6337101,325190,315.28625,386.651062,158.0770624
214,90,101,325774,315.13193,387.0827637,158.0574978,326939,349.25916,348.1678467,103.0873912
215,90,85,327527,315.13193,387.0827637,158.0574978,328620,349.25916,348.1678467,103.0873912
216,90,90,329180,315.13193,387.0827637,157.3878337,330306,349.25916,348.1678467,103.0873912
217,160,15,330869,315.13193,387.0827637,157.3878337,331953,191.162,456.1798096,150.6480403
218,0,180,332579,191.162,456.1798096,150.6480403,333741,191.162,456.1798096,150.6480403
219,83,85,334331,319.0719,387.1431885,157.9582932,335491,191.162,456.1798096,150.6480403
220,180,101,336081,336.926,391.1685791,-85.89662574,337242,191.162,456.1798096,150.6480403
221,83,90,337830,315.13193,387.0827637,159.0489284,338988,385.42914,395.5889282,-133.1830692
222,180,90,339604,386.8055,395.7061157,-133.6293651,340737,385.42914,395.5889282,-133.1830692
223,90,101,341330,386.8055,395.7061157,-133.6293651,342417,385.42914,395.5889282,-133.1830692
224,90,85,342971,346.52213,347.9314575,103.3290858,344098,313.90137,386.532959,158.7127398
225,90,90,344688,346.52213,347.9314575,103.3290858,345752,313.90137,386.532959,158.7127398
226,160,15,346310,346.52213,347.9314575,103.3290858,347491,313.90137,386.532959,158.7127398
227,0,180,348027,346.52213,347.9314575,103.3290858,349247,311.80865,380.5072632,155.7718854
228,83,85,349869,346.52213,347.9314575,103.3290858,351055,311.80865,380.5072632,155.7718854
229,180,101,351622,327.31708,392.12323,-66.95085077,352844,311.80865,380.5072632,155.7718854
230,83,90,353374,327.31708,392.12323,-66.95085077,354563,311.80865,380.5072632,155.7718854
231,180,90,355116,389.5577,395.9404907,-121.1308084,356343,311.80865,380.5072632,155.7718854
232,90,101,356904,389.5577,395.9404907,-121.1308084,358058,311.80865,380.5072632,155.7718854
233,90,85,358616,389.5577,395.9404907,-121.1308084,359800,311.80865,380.5072632,155.7718854
234,90,90,360365,389.5577,395.9404907,-121.1308084,361520,306.2981,378.43927,158.3908199
235,160,15,362114,389.5577,395.9404907,-121.1308084,363267,306.2981,378.43927,158.3908199
