num_trial,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
43,55.132,83,90,450.64944,680.9195557,-12.12705314
43,55.27,83,90,449.55447,680.4508057,-10.81471277
43,55.362,83,90,433.64285,681.1340942,4.003513292
43,55.462,83,90,422.2892,679.656189,14.3158403
43,55.591,83,90,406.6808,673.3761597,28.09403483
43,55.712,83,90,392.53345,663.8686523,46.26713105
43,55.82,83,90,383.21793,648.4707031,62.72269067
44,56.541,180,90,376.39725,616.8153687,94.77393312
44,56.682,180,90,377.2832,620.9993896,88.99237097
44,56.774,180,90,378.556,638.4192505,73.90326244
44,56.881,180,90,382.72052,647.9417114,64.69759462
44,57.011,180,90,391.13156,660.6677856,49.59645108
44,57.082,180,90,391.13156,660.6677856,49.59645108
44,57.179,180,90,408.098,674.975769,27.04243003
45,57.836,83,90,444.56497,683.1340332,-6.108250857
45,57.939,83,90,444.56497,683.1340332,-6.108250857
45,57.999,83,90,440.74307,682.6658936,-2.285843701
45,58.112,83,90,440.74307,682.6658936,-2.285843701
45,58.175,83,90,418.03262,679.7096558,17.41020715
45,58.293,83,90,402.42896,671.812439,32.6991158
45,58.425,83,90,389.72397,659.0773926,51.79395402
45,58.523,83,90,381.64203,645.9820557,66.70296469
45,58.606,83,90,381.64203,645.9820557,66.70296469
46,59.231,180,90,378.8159,603.6936035,110.6517529
46,59.324,180,90,378.8159,603.6936035,110.6517529
46,59.416,180,90,377.853,608.9412231,103.808672
46,59.543,180,90,375.84113,625.755188,87.42949405
46,59.623,180,90,375.84113,625.755188,87.42949405
46,59.718,180,90,379.908,646.3759155,67.4315174
46,59.825,180,90,388.8097,659.621521,51.80029846
46,59.95,180,90,401.0144,670.2147827,35.9362239
47,60.603,83,90,432.23315,682.7738037,4.656983432
47,60.709,83,90,432.24158,684.3967896,4.000488764
47,60.807,83,90,423.71814,682.8817139,12.17843519
47,60.884,83,90,423.71814,682.8817139,12.17843519
47,60.971,83,90,402.42896,671.812439,32.6991158
47,61.068,83,90,388.62317,660.3050537,50.6281895
47,61.172,83,90,382.6894,652.7427368,60.93227932
47,61.298,83,90,377.15933,636.8438721,77.19843807
47,61.394,83,90,375.87976,621.0140991,92.67882498
47,61.495,83,90,377.36935,609.9788818,105.2786097
48,62.187,180,90,394.27417,578.65802,141.2569897
48,62.29,180,90,392.8865,578.6705322,139.9142162
48,62.392,180,90,387.63263,585.4320679,129.0118609
48,62.464,180,90,387.63263,585.4320679,129.0118609
48,62.551,180,90,376.79056,607.0422363,108.3613349
48,62.63,180,90,376.79056,607.0422363,108.3613349
48,62.718,180,90,375.82822,627.3378906,87.47526481
48,62.791,180,90,375.82822,627.3378906,87.47526481
48,62.881,180,90,380.39673,648.5028687,66.72994584
48,62.977,180,90,386.8851,660.7182007,50.77209482
48,63.077,180,90,393.93118,668.6871338,39.23317611
49,63.772,83,90,428.3056,683.987915,6.272143369
49,63.878,83,90,428.5541,683.6725464,6.307133292
49,64.008,83,90,416.01996,682.467041,17.69452446
49,64.143,83,90,399.5888,673.463623,33.11112626
49,64.241,83,90,387.02426,661.7680054,51.28943856
49,64.34,83,90,381.2868,651.1574707,62.38732032
49,64.461,83,90,376.57956,635.4359131,79.3263642
49,64.563,83,90,375.29514,619.6307373,94.86021212
49,64.644,83,90,375.29514,619.6307373,94.86021212
49,64.705,83,90,376.02075,603.7212524,110.9746938
50,65.414,180,90,398.44946,573.9884644,148.8393416
50,65.516,180,90,397.05887,575.5437012,143.9945094
50,65.616,180,90,385.91904,583.3776855,131.2924828
50,65.716,180,90,381.67435,594.2954102,121.9960603
50,65.817,180,90,374.56973,610.0072021,105.9744315
50,65.921,180,90,373.55783,621.5748901,94.24719146
50,66.044,180,90,374.35522,635.2849731,78.83129124
50,66.151,180,90,380.3764,651.7022095,63.6958082
50,66.251,180,90,384.38528,658.7541504,53.4685828
50,66.379,180,90,395.6599,671.4863892,35.66058471
51,67.007,83,90,430.8222,684.414856,3.167599564
51,67.105,83,90,429.4027,684.4329224,3.889406678
51,67.211,83,90,420.8787,682.9177246,12.17906485
51,67.332,83,90,403.83963,676.6470947,27.77417695
51,67.469,83,90,390.00735,666.7228394,45.18806758
51,67.568,83,90,379.86224,652.7755127,61.12809351
51,67.664,83,90,375.71167,641.6363525,72.78316258
51,67.797,83,90,373.0307,625.7850952,88.29265136
51,67.895,83,90,374.55643,611.578186,106.4637567
51,68.006,83,90,377.45505,599.0161743,115.7006674
51,68.128,83,90,385.91003,584.9281616,131.8249063
52,68.79,180,90,417.8185,564.590271,171.8925448
52,68.926,180,90,417.82138,566.1251831,168.0293731
52,69.045,180,90,401.2271,570.881958,154.0266859
52,69.154,180,90,390.3549,582.1760254,140.558471
52,69.252,180,90,381.70615,589.6257935,126.4046711
