trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
118,132.137,90,101,453.66837,491.044677734375,76.08886534784418
118,132.159,90,101,452.50067,488.69635009765625,71.72736673523258
118,132.225,90,101,452.50067,488.69635009765625,71.72736673523258
118,132.259,90,101,450.56363,479.5633544921875,65.16942021470935
118,132.292,90,101,448.76428,476.39459228515625,60.32266669474568
118,132.327,90,101,447.5977,472.4742431640625,56.25353849451487
119,132.916,90,85,431.99777,457.609375,33.15895908142809
119,132.95,90,85,431.99777,457.609375,33.15895908142809
119,133.02,90,85,433.07742,457.05535888671875,33.941652435421894
119,133.054,90,85,431.97363,457.53656005859375,33.383391160556535
119,133.088,90,85,433.41324,457.39996337890625,34.34385354677151
119,133.122,90,85,437.64853,461.48052978515625,37.812274836389456
119,133.189,90,85,438.7255,462.49761962890625,44.4500166773632
119,133.222,90,85,441.59412,466.6671142578125,47.09401310721856
119,133.255,90,85,444.42615,469.396728515625,51.231165615136305
119,133.29,90,85,446.51492,473.0362548828125,55.87512460452286
119,133.355,90,85,449.66583,477.630615234375,58.709137506943904
119,133.378,90,85,449.66583,477.630615234375,58.709137506943904
119,133.411,90,85,452.05002,483.18463134765625,68.074975662233
119,133.487,90,85,453.88004,488.61383056640625,71.49799778976352
119,133.51,90,85,453.3759,492.14849853515625,75.21501711805551
119,133.544,90,85,455.5293,497.2921142578125,79.59542764595729
119,133.578,90,85,455.61948,500.21881103515625,84.6237671754678
119,133.643,90,85,455.61948,500.21881103515625,84.6237671754678
119,133.677,90,85,455.8486,508.9244384765625,94.08833955143903
119,133.711,90,85,453.64456,513.17919921875,97.93739803960487
119,133.749,90,85,452.75726,517.8553466796875,102.34650217215655
119,133.815,90,85,451.4772,521.6504516601562,106.544545884935
119,133.852,90,85,451.14587,527.4271240234375,110.8849232090914
119,133.874,90,85,451.14587,527.4271240234375,110.8849232090914
119,133.907,90,85,446.58978,534.2042236328125,119.93526685083775
120,134.498,90,101,430.60486,550.5942993164062,143.83292433998682
120,134.53,90,101,432.26483,550.87060546875,144.51393805778793
120,134.601,90,101,429.9153,549.6754760742188,143.9219563984076
120,134.638,90,101,431.31253,549.5918579101562,144.68390929853751
120,134.67,90,101,431.64435,550.0121459960938,143.46877602678217
120,134.704,90,101,434.7537,548.84765625,140.28286643639888
120,134.769,90,101,434.7537,548.84765625,140.28286643639888
120,134.802,90,101,434.7537,548.84765625,140.28286643639888
120,134.836,90,101,441.52332,540.9783325195312,127.52544407975397
120,134.87,90,101,444.2254,537.8372802734375,122.60744249584869
120,134.934,90,101,444.2254,537.8372802734375,122.60744249584869
120,134.969,90,101,447.52094,529.28515625,114.57669112540755
120,135.003,90,101,451.10193,525.9490966796875,111.55617153353923
120,135.036,90,101,451.4772,521.6504516601562,106.99118243024562
120,135.102,90,101,453.04678,519.0098266601562,103.27724149740422
120,135.136,90,101,454.3701,514.4921264648438,99.19273030806481
120,135.17,90,101,455.93588,510.48779296875,96.18324306250456
120,135.236,90,101,455.41415,507.33453369140625,91.81554032451862
120,135.259,90,101,455.63843,504.07403564453125,85.3505381255049
120,135.292,90,101,454.93396,497.9080810546875,84.6966330533754
120,135.326,90,101,455.48422,495.8299560546875,78.88179401855234
120,135.391,90,101,454.9681,489.63720703125,75.50750327044007
120,135.425,90,101,454.9681,489.63720703125,75.50750327044007
120,135.459,90,101,452.02798,482.38787841796875,67.4269690711546
120,135.495,90,101,450.56363,479.5633544921875,63.2479995850463
121,136.082,180,101,440.47562,464.204345703125,44.44757874222002
121,136.115,180,101,440.1393,463.85992431640625,44.44986496383994
122,136.684,83,85,449.07614,467.01495361328125,14.541112651270984
122,136.718,83,85,449.07614,467.01495361328125,14.541112651270984
122,136.744,83,85,448.73932,466.67529296875,14.573823973199813
